dzid,prompt,A,B,C,D,E,answer
351,"What is the name of the comedy stage revue that is widely regarded as seminal to the ""satire boom"", the rise of satirical comedy in 1960s Britain?",The Two Ronnies,The Goon Show,Beyond the Fringe,Monty Python's Flying Circus,The Goodies,C
352,"When was Tarkan's album ""Tarkan"" initially released in France?",1994,1997,2000,1998,1999,D
353,What was the population of Dix's Grant according to the 2020 census?,One,Five,Four,Two,Zero,E
354,"What is the main economic activity in Timbio, Colombia?","Timbio is a thriving tourism destination, attracting visitors with its natural landscapes and cultural heritage.","Timbio is a major manufacturing hub, specializing in textile production.","Timbio is known for its agricultural production, particularly in coffee and cocoa.","Timbio is primarily a fishing town, with its economy relying on the fishing industry.","Timbio is known for its mining industry, with extensive extraction of coal and gold.",C
355,What is the plot of the film Pinneyum based on?,The romantic relationship between Dileep and Kavya Madhavan.,"A real-life murder incident in Kerala during 1984 by Sukumara Kurup, a wanted criminal.",A fictional love story set in Kerala.,A crime drama involving a murder and a wanted criminal.,"The life of businessman Baby Mathew Somatheeram, who co-produced the film.",B
356,What is the function of histone H4 in humans?,Histone H4 is a protein that aids in protein folding and stabilizing the cell's cytoskeleton.,Histone H4 is a protein that regulates gene expression through DNA binding.,Histone H4 is a protein responsible for transporting oxygen molecules in the blood.,Histone H4 is a protein that provides structural support to the cell membrane.,Histone H4 is a protein involved in cellular energy production by facilitating ATP synthesis.,B
357,Which of the following statements accurately describes Little Miami High School's location and areas it serves?,"Little Miami High School is the only high school in the Little Miami Schools school district, located in Hamilton Township, Ohio.","Little Miami High School is the only high school in the Little Miami Schools school district, located in Morrow, Ohio.","Little Miami High School is the only high school in the Little Miami Schools school district, located in Warren County, Ohio.","Little Miami High School is the only high school in the Little Miami Schools school district, located in Butlerville, Ohio.","Little Miami High School is the only high school in the Little Miami Schools school district, located in Maineville, Ohio.",B
358,"When did Jane Campion release her television series ""Top of the Lake""?",Top of the Lake was released in 2017.,Top of the Lake was released in 1990.,Top of the Lake was released in 1980.,Top of the Lake was released in 2013.,Top of the Lake was released in 2005.,D
359,What was Carl Johann Philipp Noé Richard Anschütz most known for?,Developing the theory of relativity.,Pioneering advancements in the field of organic chemistry.,Discovering the structure of DNA.,Inventing the telephone.,Acting as the first astronaut in space.,B
360,What was P. M. Kunhiraman Nambiar's role in the Indian political landscape during the reorganization of the Congress Socialist Party in Kerala?,He was a key figure in the formation of the Indian National Congress.,He led the faction of the Congress Socialist Party that evolved into the Communist Party in 1939.,He played a major role in establishing the first Kerala legislative assembly.,He represented Koilandi in the first and second Kerala legislative assembly.,He was a prominent freedom fighter in India's struggle for independence.,D
361,Who directed the 1933 German musical comedy film Victor and Victoria?,George and Georgette,Reinhold Schünzel,None of the above,Renate Müller,Meg Lemonnier,B
362,Who commissioned the construction of the Gauler Twin Houses in Chicago?,The Gauler Twin Houses were commissioned by the Chicago Landmark Commission.,The Gauler Twin Houses were commissioned by Walter Burley Griffin.,The Gauler Twin Houses were commissioned by the City of Chicago.,"The Gauler Twin Houses were commissioned by John Gauler, a land speculator.",The Gauler Twin Houses were commissioned by the National Register of Historic Places.,D
363,What material is the Al-Markaz Al-Islami Mosque primarily made of?,Concrete ,Granite ,Brick ,Wood ,Marble ,B
364,Where is Point San Pablo Harbor located?,"Point San Pablo Harbor is located in San Francisco Bay, within San Francisco, in Marin County, California.","Point San Pablo Harbor is located in Monterey Bay, within Monterey, in Santa Clara County, California.","Point San Pablo Harbor is located in San Diego Bay, within San Diego, in San Diego County, California.","Point San Pablo Harbor is located in Long Beach Harbor, within Long Beach, in Los Angeles County, California.","Point San Pablo Harbor is located in San Pablo Bay, within Richmond, in Contra Costa County, California.",E
365,What is a significant feature of the DP-65 (98U) Soviet naval grenade launcher system based on MRG-1?,The DP-65 (98U) is a specialized underwater grenade launcher capable of launching torpedoes.,The DP-65 (98U) is equipped with an advanced radar system for target acquisition and tracking.,The DP-65 (98U) is an unmanned aerial vehicle (UAV) integrated with a grenade launcher system.,The DP-65 (98U) is a portable lightweight grenade launcher primarily used by infantry units.,The DP-65 (98U) is a compact 55 mm ten-barreled remotely-controlled naval weapon system designed for anti-aircraft defense.,C
366,What is the status of Balgö in terms of its protection and conservation?,"Balgö is an island and a national park in Kattegat, off Tångaberg in Varberg Municipality, Sweden. Balgö is the largest island in Halland. The national park was established in 1950 and covers the entire island.","Balgö is an island and a protected area in Kattegat, off Tångaberg in Varberg Municipality, Sweden. The protection status of Balgö was established in 1950 to preserve its unique ecosystem.","Balgö is an island and a nature reserve in Kattegat, off Tångaberg in Varberg Municipality, Sweden. Balgö is the largest island in Halland. The nature reserve was established in 1950. Some smaller islands around Balgö are also included in the nature reserve.","Balgö is an island and a sanctuary in Kattegat, off Tångaberg in Varberg Municipality, Sweden. Balgö is the largest island in Halland. The sanctuary status was granted in 1950, protecting the island and its surrounding smaller islands.","Balgö is an island and a conservation area in Kattegat, off Tångaberg in Varberg Municipality, Sweden. Balgö is the largest island in Halland. The conservation area was designated in 1950 and is responsible for the preservation of the island's natural heritage.",C
367,"Who wrote and performed the majority of the songs on the album ""Frankenstein Monster""?",Francis Dunnery,Both Francis and Baz Dunnery,Francis' brother Baz Dunnery,Francis' mother,Necromandus,C
368,In which regions is Paralebeda plagifera commonly found?,All of the above,Both northern Thailand and northern Vietnam,Only Nepal,Only northern and central India,Only southern and south-eastern China,A
369,"What weather conditions can be expected in Tanomah, Saudi Arabia?",Tanomah has a predominantly dry and arid climate with minimal precipitation.,Tanomah has mild to cold weather in most months of the year but is very cold in winter.,Tanomah experiences a hot and humid climate throughout the year.,Tanomah is prone to frequent thunderstorms and heavy rainfall.,"Tanomah is covered by fog almost year-round, making visibility difficult.",B
370,Who was Blanche Stuart Scott?,Possibly the first American woman to win an Olympic gold medal in skiing.,Possibly the first American woman to circumnavigate the globe.,Possibly the first American woman astronaut.,Possibly the first American woman aviator.,Possibly the first American woman to fly a helicopter.,D
371,"What is the river that Whitewell Brook meets in Waterfoot, a historic mill town and civil parish in Lancashire, England?",River Calder,River Irwell,River Thames,River Mersey,River Ribble,B
372,Which club does Santiago Nicolás Lizana Lizana currently play for?,Universidad de Chile,Santiago Morning,Audax Italiano,Colo-Colo,Universidad Católica,B
373,In which country did Trinidad and Tobago compete at the 2000 Summer Olympics?,Trinidad and Tobago did not compete at the 2000 Summer Olympics.,Trinidad and Tobago competed in Greece at the 2000 Summer Olympics.,Trinidad and Tobago competed in China at the 2000 Summer Olympics.,Trinidad and Tobago competed in Brazil at the 2000 Summer Olympics.,Trinidad and Tobago competed in Australia at the 2000 Summer Olympics.,E
374,What was the role of Hans-Georg von Friedeburg during World War II?,He was the representative of the armed forces present at the signing of the German instruments of surrender.,He played a key role in the Flensburg Government.,He was the Commander-in-Chief of the Kriegsmarine.,He was a German admiral who led the U-boat Forces of Nazi Germany.,He was the deputy commander of the Luftwaffe.,A
375,"Who served as the executive producer for the debut studio album ""Ant Banks Presents T.W.D.Y.: Derty Werk"" by T.W.D.Y.?",Otis & Shug,Gripsta,Ant Banks,Playa Metro,Too $hort,C
376,How many miles is Great Oakley situated from Kettering?,Approximately five miles,Approximately one mile,Approximately seven miles,Approximately nine miles,Approximately three miles,A
377,What is the term used to describe the geological structure that Bonny Hills is built upon?,Erosion,Tectonic plate,Karst,Fault,Alluvium,E
378,How was Xiangfen County formed and what is its area and population?,"Xiangfen County was created by the union of Xiangling County and Fencheng County. It has an area of 442,614 km2 (170,620 sq mi) and a population of 1,034,442.","Xiangfen County was established in February 1954 from the merger of the former Xiangling County and Fencheng County. It has an area of 1,034 km2 (399 sq mi) and a population of 442,614.","Xiangfen County was established in February 1954 from the merger of the former Xiangling County and Fencheng County. It has an area of 399 km2 (154 sq mi) and a population of 1,034,442.","Xiangfen County was formed after the merger of Xiangshan County and Fencheng County. It has an area of 442,614 km2 (170,620 sq mi) and a population of 1,034.","Xiangfen County was formed through the combination of Xiangling County and Fencheng County. It has an area of 1,034 km2 (399 sq mi) and a population of 154.",B
379,How was the Laidunina Lighthouse recognized in Estonia?,The Laidunina Lighthouse was recognized as a cultural monument of Estonia in 2005.,The Laidunina Lighthouse was recognized as an architectural masterpiece in 1924.,The Laidunina Lighthouse was recognized as a historical landmark in 1907.,The Laidunina Lighthouse was recognized as a significant tourist attraction in 2005.,The Laidunina Lighthouse was recognized as a UNESCO World Heritage site in 1924.,A
380,What is the reason for SCM Gloria Buzău's withdrawal from the national competition?,It is due to their inability to field a competitive team.,It is a consequence of poor performance in previous matches.,It is a result of unexpected player injuries during the season.,It is a strategic decision to focus on training their youth teams.,It is due to financial issues caused by the Coronavirus pandemic.,E
381,What is the ownership status of Aergo Capital Limited?,Aergo Capital Limited is owned by CarVal Investors.,Aergo Capital Limited is privately owned by a group of institutional investors.,Aergo Capital Limited is owned by a combination of individual investors and financial institutions.,Aergo Capital Limited is owned by Carval Investors and other aviation companies.,Aergo Capital Limited is publicly owned.,A
382,What is the main characteristic of Westend in Berlin?,Westend is primarily an industrial area with a strong emphasis on manufacturing and production.,"Westend is known for its historical landmarks and significant cultural heritage, attracting tourists from all over the world.","Westend is a residential neighborhood with a diverse demographic composition, offering affordable housing options for its residents.","Westend is a newly established locality resulting from the merger of multiple boroughs in 2001, currently densely settled and affluent.","Westend is a sparsely populated area with limited development potential, located far from Berlin's city center.",D
383,What property distinguishes cycloalkanes from alkenes in organic chemistry?,The type of hydrocarbon isomers,The number of carbon atoms in the structure,The presence of carbon-carbon double bonds,The presence of single carbon-carbon bonds,The arrangement of hydrogen and carbon atoms,D
384,When did the premiere of The Catherine Wheel take place?,"September 25, 1981","September 23, 1981","September 24, 1981","September 22, 1981","September 26, 1981",D
385,What is the Ofsted rating given to UTC Reading in 2023?,The Ofsted rating was not mentioned in the provided excerpt.,"""Good""","""Inadequate""","""Requires Improvement""","""Outstanding""",C
386,"What roles did Mattityahu ""Matti"" Peled play throughout his life?",Mattityahu Peled was primarily known for being a leading proponent of Israeli dialogue with the PLO and complete withdrawal from the Occupied Territories.,"Mattityahu Peled was a professional military man and scholar who reached the rank of Aluf in the IDF, headed the Arabic Language and Literature Department of Tel Aviv University, and was a radical peace activist and member of the Knesset.","Mattityahu Peled served as an IDF Aluf, participated in the Six-Day War, and was known for his advocacy for dialogue with the PLO and complete withdrawal from the Occupied Territories.",Mattityahu Peled was a prominent member of the General Staff during the Six-Day War of 1967 and played a major role in the conquest of the Occupied Territories.,"Mattityahu Peled was mainly recognized for his controversial views considered ""extreme left"" in Israeli terms, yet he was treated with considerable respect by staunch political people.",B
387,What is the significance of Foolad Natanz Football Club?,Foolad Natanz Football Club is the reigning champion of the Iranian Football League.,"Foolad Natanz Football Club is a professional football club associated with Natanz, Iran.",Foolad Natanz Football Club was founded by former Sepahan Novin Football Club players.,Foolad Natanz Football Club is known for having the most international players in Iran.,Foolad Natanz Football Club is the oldest football club in Iran.,B
388,What political roles did George Gray serve during his lifetime?,Member of the California State Assembly and Mayor in 1850,Member of the British Parliament and Prime Minister in 1760,Member of the New York State Senate and Governor in 1800,Member of the United States Congress and President in 1820,Member of the Pennsylvania Provincial Assembly and Speaker in 1783,E
389,What was Louis-François Cassas' occupation?,"A skilled artisan in the office of ""Ponts et Chaussés"".",A renowned sculptor.,An accomplished architect.,A notable archaeologist.,A distinguished French landscape painter.,A
390,What is the purpose of non-lethal weapons?,Non-lethal weapons are intended to minimize the risk of casualties as much as possible.,Non-lethal weapons are deployed to inflict pain and enforce compliance.,Non-lethal weapons are primarily used in combat situations where lethal force is required.,Non-lethal weapons are designed to replace conventional weapons such as knives and firearms with live ammunition.,Non-lethal weapons are used to increase the likelihood of killing a living target compared to conventional weapons.,A
391,"What is the distinctive characteristic of Provannidae, a family of deep water sea snails?","Provannidae is a family of deep water sea snails, known for their presence in the superfmaily Abyssochrysoidea.","Provannidae is exclusively found in freshwater habitats, making them unique among other sea snail families.","Provannidae is known for its vibrant color patterns and intricate shell designs, making them highly sought after by collectors.",Provannidae is a family of shallow water sea snails known for their ability to camouflage using mimicry techniques.,"Provannidae is the largest family of sea snails, with numerous species exhibiting a wide range of sizes and shell shapes.",A
392,What is Kerstin Lillemor Ekman known for?,Kerstin Lillemor Ekman is known for being a Danish novelist.,Kerstin Lillemor Ekman is known for being a Swedish novelist.,Kerstin Lillemor Ekman is known for being a Finnish novelist.,Kerstin Lillemor Ekman is known for being an American novelist.,Kerstin Lillemor Ekman is known for being a Norwegian novelist.,B
393,"Which of the following accurately describes the professional golf career of Herman Densmore ""Denny"" Shute?",Shute was a Canadian professional golfer who won two major championships in the 1930s.,Shute was a Scottish professional golfer who won three major championships in the 1930s.,Shute was an English professional golfer who won three major championships in the 1930s.,Shute was an American professional golfer who won three major championships in the 1930s.,Shute was an American professional golfer who won five major championships in the 1930s.,D
394,How long did William Smith Harvey represent the South Australian House of Assembly seat of Newcastle?,"William Smith Harvey represented the seat of Newcastle for 16 years, from 1917 to 1933.","William Smith Harvey represented the seat of Newcastle for 15 years, from 1918 to 1933.","William Smith Harvey represented the seat of Newcastle for 12 years, from 1918 to 1930.","William Smith Harvey represented the seat of Newcastle for 10 years, from 1923 to 1933.","William Smith Harvey represented the seat of Newcastle for 20 years, from 1918 to 1938.",B
395,When was St Monica's Church built?,St Monica's Church was built in 1869 and designed by E. W. Pugin.,St Monica's Church was built in 1865 and designed by E. W. Pugin.,St Monica's Church was built in 1868 and designed by E. W. Pugin.,St Monica's Church was built in 1866 and designed by E. W. Pugin.,St Monica's Church was built in 1867 and designed by E. W. Pugin.,D
396,How many major hurricanes were recorded during the 1934 Atlantic hurricane season?,Two,Three,One,None of the above.,Five,C
397,What is the historical significance of the Nieczuja coat of arms in the Polish-Lithuanian Commonwealth?,The Nieczuja coat of arms symbolized the unity and strength of the Polish and Lithuanian nobility in the Commonwealth.,The Nieczuja coat of arms was only granted to the nobility who held high-ranking positions in the Polish-Lithuanian government.,The Nieczuja coat of arms was exclusively used by the ruling monarchs of the Polish-Lithuanian Commonwealth.,The Nieczuja coat of arms was granted to the Polish knights who exhibited exceptional bravery and loyalty in battle.,"The Nieczuja coat of arms denoted the families of the szlachta, who were part of the noble class in the Polish-Lithuanian Commonwealth.",E
398,"Where is the village of Merrymeet located within Cornwall, England?","Merrymeet is a village in the north of the parish of Menheniot in west Cornwall, England.","Merrymeet is a village in the west of the parish of Menheniot in east Cornwall, England. Merrymeet lies on the A390 main road.","Merrymeet is a village in the east of the parish of Menheniot in east Cornwall, England.","Merrymeet is a village in the north of the parish of Menheniot in east Cornwall, England.","Merrymeet is a village in the south of the parish of Menheniot in east Cornwall, England. Merrymeet lies on the A390 main road.",D
399,What was the previous name of CSR Corporation Limited?,China South Locomotive & Rolling Stock Corp.,China East Locomotive & Rolling Stock Corp.,China North Locomotive & Rolling Stock Corp.,China West Locomotive & Rolling Stock Corp.,China Central Locomotive & Rolling Stock Corp.,A
400,In which events did Paweł Januszewski compete in during his career?,Discus throw and pole vault,100m dash and high jump,Hurdles and triple jump,Hurdles and 400m run,Long jump and shot put,D
401,What does the Wales TUC represent?,The Wales TUC represents the government of Wales.,The Wales TUC represents the employers in Wales.,The Wales TUC represents the workers in Wales.,The Wales TUC represents the political parties in Wales.,The Wales TUC represents the trade unions in England.,C
402,"What was the primary purpose of Gale College in Galesville, Wisconsin?","Gale College was primarily used as a research institution, focusing on scientific investigations and innovative discoveries.","Gale College was primarily used as a religious seminary, training prospective clergy members for different denominations.",Gale College served as a vocational school providing job training in various fields for the local community.,"Gale College served as a liberal arts college, offering undergraduate degrees in a wide range of academic disciplines.","Gale College served as a community center, hosting various social events and recreational activities for the residents of Galesville.",B
403,What was Louis LeBaron's occupation from 1942 to 1955?,Louis LeBaron was a renowned artist in Hawaii from 1942 to 1955.,Louis LeBaron was a senator representing Hawaii from 1942 to 1955.,Louis LeBaron was a justice of the Territorial Supreme Court of Hawaii from 1942 to 1955.,Louis LeBaron was a prominent businessman in Hawaii from 1942 to 1955.,Louis LeBaron was a governor of Hawaii from 1942 to 1955.,C
404,In what year was Syracuse's population recorded as 781 according to the census?,Syracuse's population was recorded in 2018.,Syracuse's population was recorded in 2010.,Syracuse's population was recorded in 2022.,Syracuse's population was recorded in 2015.,Syracuse's population was recorded in 2020.,E
405,Which of the following best describes Irais?,A commune located in the Yvelines department in western France.,A town located in the Charente-Maritime department in western France.,A commune located in the Rhône-Alpes region of France.,A commune located in the Alsace-Champagne-Ardenne-Lorraine region of France.,A commune located in the Deux-Sèvres department in western France.,E
406,"What was the reason for the creation of Phatthanakan subdistrict in Bangkok, Thailand?",The creation of Phatthanakan subdistrict was a result of urban planning initiatives in Bangkok.,The creation of Phatthanakan subdistrict was due to increasing population demand in the area.,The creation of Phatthanakan subdistrict was a solution to address the rising crime rate in the area.,The creation of Phatthanakan subdistrict was a response to the need for better transportation infrastructure.,The creation of Phatthanakan subdistrict aimed to preserve historical landmarks in the region.,A
407,What was Ze'ev Iviansky known for?,"Ze'ev Iviansky was a respected anthropologist, known for his research on indigenous cultures in the Amazon rainforest.","Ze'ev Iviansky was a renowned physicist, known for his groundbreaking work in the field of quantum mechanics.","Ze'ev Iviansky was a celebrated chemist, known for his discoveries in the field of organic synthesis.","Ze'ev Iviansky was a prominent mathematician, known for his contributions to the theory of differential equations.","Ze'ev Iviansky was an Israeli political scientist, known for his expertise in analyzing political systems and ideologies.",E
408,"Which team does Olivia Époupa currently play for in the EuroLeague Women and the Hungarian women's basketball league, according to Wikipedia?",UMMC Ekaterinburg,Sopron Basket,Perfumerías Avenida,Fenerbahçe,Bourges Basket,B
409,What was the label that released the debut album of the Serbian band Disciplina Kičme in 1983?,Ove ruke nisu male...,Disciplina Kičme,Helidon,Sviđa mi se da ti ne bude prijatno,1,C
410,When was the Kennedy Building listed on the National Register of Historic Places?,1985.,1950.,1975.,1925.,1910.,A
411,What was Sir William Cornelius Van Horne's famous quote with regards to attracting tourists to Canada?,"""The success of Descartes' namesake coordinate system.""","""Since we can't export the scenery, we will have to import the tourists"".","""The quantified extension of volume in empty space.""","""The medieval thought experiment into the idea of a vacuum.""","""The commonly held view that nature abhorred a vacuum.""",B
412,What is the political position of Partap Singh Bajwa?,Partap Singh Bajwa is a member of the Legislative Council for Punjab.,Partap Singh Bajwa is a member of the Vidhan Sabha representing Gurdaspur in Punjab.,Partap Singh Bajwa is a member of the Rajya Sabha representing Punjab.,Partap Singh Bajwa is a member of the State Assembly representing Gurdaspur in Punjab.,Partap Singh Bajwa is a member of the Lok Sabha representing Punjab.,E
413,What is Brent McIntosh known for?,Brent McIntosh is known for his expertise in constitutional law and his role in defending civil liberties.,Brent McIntosh is known for his contributions to international trade negotiations and agreements.,Brent McIntosh is known for his extensive work in the field of environmental law and sustainable development.,Brent McIntosh is known for his involvement in shaping cybersecurity policies and practices.,Brent McIntosh is known for his groundbreaking research in the field of astrophysics.,D
414,"When were the Alpes Cottiae, a province of the Roman Empire, founded?",The Alpes Cottiae were founded in 63 AD by Emperor Nero.,The Alpes Cottiae were founded in 110 AD by Emperor Trajan.,The Alpes Cottiae were founded in 45 AD by Emperor Claudius.,The Alpes Cottiae were founded in 92 AD by Emperor Domitian.,The Alpes Cottiae were founded in 79 AD by Emperor Titus.,A
415,What was the name of the Swedish supergroup's reunion tour in 2019?,The 2011 Single Reunion Tour,The Swedish House Mafia Reunion Tour,The Ultra Miami Reunion Tour,The 2018 Reunion Tour,The Save the World Reunion Tour,E
416,What is a notable characteristic of the FNAB-43 submachine gun mentioned in the excerpt?,The FNAB-43 utilized extensive milling and precision engineering in its production.,The FNAB-43 featured an innovative recoil reduction system.,The FNAB-43 was a cost-effective weapon with simple manufacturing processes.,The FNAB-43 was developed by a collaboration of Italian and German weapon designers.,The FNAB-43 was primarily issued to Allied forces during World War II.,A
417,"What does Tonkin Highway primarily connect in Perth, Western Australia?","Tonkin Highway primarily connects various major roads in Perth, such as Reid Highway, Great Eastern Highway, Leach Highway, Roe Highway, and Albany Highway.","Tonkin Highway primarily connects the city's northern and southern terminus points, Muchea and Oakford, respectively.","Tonkin Highway primarily connects Perth with regional areas, such as Brand Highway and Great Northern Highway.",Tonkin Highway primarily connects Perth with the neighboring city of Oakford.,Tonkin Highway primarily connects Perth Airport and Kewdale with the city's north-eastern and south-eastern suburbs.,E
418,What is the main ingredient used to prepare aloo tikki?,Potatoes,Peas,Yogurt,Tamarind,Chickpeas,A
419,What is Morteza Mohases known for in the field of sports?,"Morteza Mohases is an influential Iranian sports journalist and commentator, famous for his insightful analysis.",Morteza Mohases is a prominent Iranian athlete and former world champion in track and field.,"Morteza Mohases is a renowned Iranian football coach and instructor, known for his expertise in coaching strategies.",Morteza Mohases is a renowned Iranian poker player and has won several international tournaments.,"Morteza Mohases is a world-famous Iranian swimmer, holding multiple Olympic gold medals.",C
420,"What is a characteristic of Caladenia concolor, commonly known as the crimson spider orchid?",Caladenia concolor is a terrestrial orchid species found in Australia that grows in the soil.,Caladenia concolor is a vine-like orchid species found in Australia that climbs on other plants for support.,Caladenia concolor is an aquatic orchid species found in Australia that grows in freshwater marshes.,Caladenia concolor is a epiphytic orchid species found in Australia that grows on tree branches.,Caladenia concolor is a lithophytic orchid species found in Australia that grows on rocks.,A
421,Who hosted the 56th Primetime Emmy Awards in 2004?,Tina Fey,Neil Patrick Harris,Garry Shandling,Ellen DeGeneres,Jimmy Kimmel,C
422,Which city is home to the Cyrus Dallin Art Museum?,"Boston, Massachusetts","Chicago, Illinois","Kansas City, Missouri","Arlington, Massachusetts","Syracuse, New York",D
423,What is the significance of Contralmirante Villar?,Contralmirante Villar is a province that shares its border with Ecuador and is known for being a major trade hub between the two countries.,"Contralmirante Villar is a province renowned for its ancient archaeological sites, including the Temple of the Moon and Temple of the Sun.",Contralmirante Villar is a province famous for its pristine beaches and popular tourist destinations.,"Contralmirante Villar is a province in the Tumbes Region of Peru, with Zorritos as its capital town.","Contralmirante Villar is a province located in the Amazon Rainforest of Peru, known for its diverse wildlife and ecosystem.",D
424,Who performed as the drummer for Black Sabbath during their farewell concert recorded on The End: Live in Birmingham album?,"Bill Ward, the band's original drummer.","Tommy Clufetos, a session drummer.","Tony Iommi, the founding member and guitarist of Black Sabbath.","Ozzy Osbourne, the founding member of Black Sabbath.","Adam Wakeman, the keyboardist and guitarist performing with the band.",B
425,Which sporting event did Guillermo Saavedra Tapia participate in?,Super Bowl,Tour de France,Wimbledon,1928 Summer Olympics,FIFA World Cup,E
426,"What is the historical significance of the First Presbyterian Church in Flemingsburg, Kentucky?","The First Presbyterian Church in Flemingsburg, Kentucky is a popular tourist attraction due to its exceptional collection of stained glass windows.","The First Presbyterian Church in Flemingsburg, Kentucky is a significant site in the American Civil War, having served as a temporary hospital for wounded soldiers.","The First Presbyterian Church in Flemingsburg, Kentucky is the oldest church in the city and has been continuously in operation since its construction.","The First Presbyterian Church in Flemingsburg, Kentucky is renowned for its unique architectural design, incorporating Gothic and Neoclassical elements.","The First Presbyterian Church in Flemingsburg, Kentucky is the largest church building in the county, accommodating over 500 attendees.",C
427,What was ECW?,ECW was a brand of the American professional wrestling promotion World Wrestling Entertainment (WWE) that was established as a relaunch of the former World Championship Wrestling (WCW) promotion.,ECW was a former professional wrestling promotion that operated separately from World Wrestling Entertainment (WWE) and had no association with it.,"ECW was a division of the World Wrestling Entertainment (WWE) roster, where wrestlers competed on a weekly basis.",ECW was a brand of the American professional wrestling promotion World Wrestling Entertainment (WWE) that was established in May 2006 and discontinued in February 2010.,ECW was a brand of the American professional wrestling promotion World Wrestling Entertainment (WWE) that primarily focused on amateur wrestling.,D
428,"What is the significance of Lignum in Culpeper County, Virginia, United States?","Lignum is a major industrial hub in Culpeper County, housing several factories and manufacturing facilities.",Lignum is an unincorporated community in Culpeper County and is primarily known for its post office with ZIP code 22726.,Lignum is a popular tourist destination due to its scenic natural landscapes and outdoor recreational activities.,Lignum is the county seat of Culpeper County and is known for its historic landmarks and architectural heritage.,"Lignum is a designated conservation area, preserving the region's unique biodiversity and natural resources.",B
429,"In which countries is the term ""municipal seat"" used to refer to an administrative center, seat of government, or capital city of a municipality or civil parish?",Mexico and Guatemala,"Brazil, Colombia, and Mexico",Colombia and Mexico,"Brazil, Colombia, Mexico, Guatemala, and Venezuela",Brazil and Colombia,D
430,"Which Olympic sport resulted in bronze medals for Stephen Fernandez and Beatriz Lucero at the 1992 Summer Olympics, but their medals were not included in the official medal tally?",Athletics,Tennis,Archery,Taekwondo,Swimming,D
431,What is the main objective of Wolaita Liqa School?,To establish a network of community model schools in Ethiopia.,To promote the importance of education and produce talented students.,To secure funding from international organizations for education projects.,To provide free education to all students in Sodo Town.,To advocate for the rights of marginalized communities in the SNNPR.,B
432,Which French track and field athlete won the gold medal at the 2016 European Championships and the bronze medal at the 2016 Summer Olympics?,Renaud Lavillenie,Jean-Pierre Mallet,Dimitri Bascou,Christophe Lemaitre,Pierre-Ambroise Bosse,C
433,"Which of the following statements accurately describes Angamiana, a genus of cicadas from Southeast Asia?","Angamiana is a genus of cicadas predominantly found in Southeast Asia. They are known for their versatile diet, feeding on various plants and occasionally insects. They have a lifespan of three to five years.",Angamiana is a genus of cicadas known for their nocturnal behavior and unique ability to release pheromones to attract mates. They are primarily found in Central and South America and have a lifespan of three to four weeks.,Angamiana is a genus of cicadas characterized by their harmonic singing and brightly colored wings. They are found exclusively in Australia and have a lifespan of two months.,Angamiana is a genus of cicadas characterized by their diurnal behavior and ability to mimic bird calls. They are known for their distinctive coloring and have a lifespan of approximately one year.,"Angamiana is a genus of cicadas primarily found in North America. They are known for their synchronized emergence every 13 or 17 years, a phenomenon known as periodical cicadas. They have a lifespan of two to four weeks.",A
434,What is the geographical location of Saint-Paul-d'Oueil in France?,Saint-Paul-d'Oueil is a commune in the Pyrénées-Atlantiques department in southwestern France.,Saint-Paul-d'Oueil is a commune in the Pyrénées-Orientales department in southwestern France.,Saint-Paul-d'Oueil is a commune in the Gironde department in southeastern France.,Saint-Paul-d'Oueil is a commune in the Haute-Garonne department in southwestern France.,Saint-Paul-d'Oueil is a commune in the Haute-Garonne department in southeastern France.,D
435,"Which mountain is located west of Lenk in the Bernese Oberland, as mentioned in the Wikipedia excerpt?",Mont Blanc,Matterhorn,Mount Everest,Wistätthorn,Mount McKinley,D
436,"Which actors starred in the 1950 Italian film ""Paolo e Francesca""?",Francesca da Polenta and Armando Francioli,Odile Versois and Armando Francioli,Raffaello Matarazzo and Paolo Malatesta,Odile Versois and Raffaello Matarazzo,Paolo Malatesta and Francesca da Polenta,B
437,"What was the population of Wilmont, Minnesota, according to the 2010 census?",549,339,721,655,447,B
438,"What position did Sharon L. Gaetz hold prior to being elected as the mayor of Chilliwack, British Columbia?","Chief administrative officer of Chilliwack, British Columbia","Deputy mayor of Chilliwack, British Columbia",Director for the Fraser Valley Regional District,Member of the Chilliwack City Council,"Acting mayor of Chilliwack, British Columbia",E
439,What position did Mehrdad Pooladi primarily play for the Iranian national football team?,Striker,Goalkeeper,Right back,Midfielder,Left back,E
440,Which esports games has VikkiKitty worked in as a match commentator?,"VikkiKitty has worked in Super Smash Bros. for Wii U, Super Smash Bros. Ultimate, Overwatch, Arms, Pokkén Tournament, and Apex Legends as a match commentator.","VikkiKitty has worked in Rocket League, Street Fighter V, and Dota 2 as a match commentator.","VikkiKitty has worked in Counter-Strike: Global Offensive, Call of Duty, and Rainbow Six Siege as a match commentator.","VikkiKitty has worked in Fortnite, Hearthstone, and League of Legends as a match commentator.","VikkiKitty has worked in Clash Royale, Madden NFL, and FIFA as a match commentator.",A
